 ,Individual_Match No,Player,Team,Opp_Team,RH/LH,Match_Type,Ground,Role,Runs,Wickets,Dream11_ Points,Dismissal
1,M1,MS Dhoni,CSK,MI,RH,Chasing,Sheikh Zayed,WK,0,0,20,NO
1,M1,Watson,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,4,0,17,LBW
1,M1,Rayudu,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,71,0,95,CAUGHT
1,M1,Du Plesis,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,58,0,100,NO
1,M1,Vijay,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,1,0,5,LBW
1,M1,Jadeja,CSK,MI,LH,Chasing,Sheikh Zayed,ALL,10,2,62,LBW
1,M1,Sam Curran,CSK,MI,LH,Chasing,Sheikh Zayed,ALL,18,1,68,CAUGHT
1,M1,Piyush Chawla,CSK,MI,LH,Chasing,Sheikh Zayed,BALL,0,1,31,nb
1,M1,Deepak Chahar,CSK,MI,RH,Chasing,Sheikh Zayed,BALL,0,2,54,nb
1,M1,Ngidi,CSK,MI,RH,Chasing,Sheikh Zayed,BALL,0,3,77,nb
1,M1,Jadhav,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,0,0,4,nb
1,M1,Rohit Sharma,MI,CSK,RH,Defending,Sheikh Zayed,BAT,12,0,18,CAUGHT
1,M1,De Kock,MI,CSK,LH,Defending,Sheikh Zayed,WK,33,0,42,CAUGHT
1,M1,S.Yadav,MI,CSK,RH,Defending,Sheikh Zayed,BAT,17,0,23,CAUGHT
1,M1,Saurabh Tiwary,MI,CSK,LH,Defending,Sheikh Zayed,BAT,42,0,51,CAUGHT
1,M1,Hardik Pandya,MI,CSK,RH,Defending,Sheikh Zayed,ALL,14,0,22,CAUGHT
1,M1,Kieron Pollard,MI,CSK,RH,Defending,Sheikh Zayed,ALL,18,0,25,CAUGHT
1,M1,Krunal Pandya,MI,CSK,LH,Defending,Sheikh Zayed,ALL,3,1,30,CAUGHT
1,M1,Pattinson,MI,CSK,RH,Defending,Sheikh Zayed,BALL,11,1,50,CAUGHT
1,M1,Rahul Chahar,MI,CSK,RH,Defending,Sheikh Zayed,BALL,2,1,37,NO
1,M1,Boult,MI,CSK,LH,Defending,Sheikh Zayed,BALL,0,1,29,BOLD
1,M1,Bumrah,MI,CSK,RH,Defending,Sheikh Zayed,BALL,5,1,30,NO
2,M1,P.Shaw,DC,KXIP,RH,Defending,Dubai,BAT,5,0,26,CAUGHT
2,M1,Shikhar Dhawan,DC,KXIP,LH,Defending,Dubai,BAT,0,0,2,RUNOUT
2,M1,Hetmeyer,DC,KXIP,LH,Defending,Dubai,BAT,7,0,16,CAUGHT
2,M1,Shreyas Iyer,DC,KXIP,RH,Defending,Dubai,BAT,39,0,57,CAUGHT
2,M1,Rishabh Pant,DC,KXIP,LH,Defending,Dubai,WK,31,0,47,BOLD
2,M1,Marcus Stoinis,DC,KXIP,RH,Defending,Dubai,ALL,53,2,126,RUNOUT
2,M1,Axar Patel,DC,KXIP,LH,Defending,Dubai,ALL,6,1,41,CAUGHT
2,M1,Ashwin,DC,KXIP,RH,Defending,Dubai,BALL,4,2,58,CAUGHT
2,M1,Rabada,DC,KXIP,LH,Defending,Dubai,BALL,0,2,62,NO
2,M1,Nortje,DC,KXIP,RH,Defending,Dubai,BALL,3,0,7,NO
2,M1,Mohit Sharma,DC,KXIP,RH,Defending,Dubai,BALL,0,1,23,nb
2,M1,KL Rahul,KXIP,DC,RH,Chasing,Dubai,WK,21,0,49,BOLD
2,M1,Mayank Agarwal,KXIP,DC,RH,Chasing,Dubai,BAT,89,0,124,CAUGHT
2,M1,Karun Nair,KXIP,DC,RH,Chasing,Dubai,BAT,1,0,5,CAUGHT
2,M1,Nicolas Pooran,KXIP,DC,LH,Chasing,Dubai,WK,0,0,8,BOLD
2,M1,Glenn Maxwell,KXIP,DC,RH,Chasing,Dubai,ALL,1,0,5,CAUGHT
2,M1,Sarfaraz Khan,KXIP,DC,RH,Chasing,Dubai,BAT,12,0,18,CAUGHT
2,M1,Gowtham,KXIP,DC,RH,Chasing,Dubai,ALL,20,0,31,CAUGHT
2,M1,Chris Jordan,KXIP,DC,RH,Chasing,Dubai,BALL,5,0,19,CAUGHT
2,M1,Mohammed Shami,KXIP,DC,RH,Chasing,Dubai,BALL,0,3,93,nb
2,M1,Sheldon Cottrell,KXIP,DC,LH,Chasing,Dubai,BALL,0,2,56,nb
2,M1,Ravi Bishnoi,KXIP,DC,RH,Chasing,Dubai,BALL,0,1,31,nb
3,M1,Aaron Finch,RCB,SRH,RH,Defending,Dubai,BAT,29,0,38,LBW
3,M1,Devdutt Padikkal,RCB,SRH,LH,Defending,Dubai,BAT,56,0,76,BOLD
3,M1,Virat Kohli,RCB,SRH,RH,Defending,Dubai,BAT,14,0,34,CAUGHT
3,M1,AB de Villiers,RCB,SRH,RH,Defending,Dubai,BAT,51,0,71,RUNOUT
3,M1,Josh Phillipe,RCB,SRH,RH,Defending,Dubai,WK,1,0,11,NO
3,M1,Shivam Dube,RCB,SRH,LH,Defending,Dubai,ALL,7,2,63,RUNOUT
3,M1,Umesh Yadav,RCB,SRH,RH,Defending,Dubai,BALL,0,0,16,nb
3,M1,W Sundar,RCB,SRH,LH,Defending,Dubai,ALL,0,0,4,nb
3,M1,Navdeep Saini,RCB,SRH,RH,Defending,Dubai,BALL,0,2,62,nb
3,M1,Dale Steyn,RCB,SRH,RH,Defending,Dubai,BALL,0,1,27,nb
3,M1,Y Chahal,RCB,SRH,RH,Defending,Dubai,BALL,0,3,83,nb
3,M1,Warner,SRH,RCB,LH,Chasing,Dubai,BAT,6,0,11,RUNOUT
3,M1,Bairstow,SRH,RCB,RH,Chasing,Dubai,WK,61,0,101,BOLD
3,M1,Manish Pandey,SRH,RCB,RH,Chasing,Dubai,BAT,34,0,49,CAUGHT
3,M1,Vijay Shankar,SRH,RCB,RH,Chasing,Dubai,ALL,0,1,27,BOLD
3,M1,Mitchell Marsh,SRH,RCB,RH,Chasing,Dubai,ALL,0,0,2,CAUGHT
3,M1,Priyam Garg,SRH,RCB,RH,Chasing,Dubai,BAT,12,0,17,BOLD
3,M1,Abhishek Sharma,SRH,RCB,LH,Chasing,Dubai,BAT,7,1,37,RUNOUT
3,M1,Rashid Khan,SRH,RCB,RH,Chasing,Dubai,BALL,6,0,19,BOLD
3,M1,Bhuvaneshwar Kumar,SRH,RCB,RH,Chasing,Dubai,BALL,0,0,4,BOLD
3,M1,Sandeep Sharma,SRH,RCB,RH,Chasing,Dubai,BALL,9,0,12,CAUGHT
3,M1,Natarajan,SRH,RCB,LH,Chasing,Dubai,BALL,3,1,32,NO
4,M1,Yashasvi Jaiswal,RR,CSK,LH,Defending,Sharjah,BAT,6,0,11,CAUGHT
4,M1,Steve Smith,RR,CSK,RH,Defending,Sharjah,BAT,69,0,93,CAUGHT
4,M1,Sanju Samson,RR,CSK,RH,Defending,Sharjah,WK,74,0,145,CAUGHT
4,M1,David Miller,RR,CSK,LH,Defending,Sharjah,BAT,0,0,2,RUNOUT
4,M1,Robin Uthappa,RR,CSK,RH,Defending,Sharjah,BAT,5,0,9,CAUGHT
4,M1,Rahul Tewatia,RR,CSK,LH,Defending,Sharjah,ALL,10,3,88,LBW
4,M1,Riyag Parag,RR,CSK,RH,Defending,Sharjah,ALL,6,0,11,CAUGHT
4,M1,Tom Curran,RR,CSK,RH,Defending,Sharjah,BALL,10,1,42,NO
4,M1,Jofra Archer,RR,CSK,RH,Defending,Sharjah,BALL,27,1,64,NO
4,M1,Shreyas Gopal,RR,CSK,RH,Defending,Sharjah,BALL,0,1,27,nb
4,M1,Jaydev Unadkat,RR,CSK,LH,Defending,Sharjah,BALL,0,0,0,nb
4,M2,MS Dhoni,CSK,RR,RH,Chasing,Sharjah,WK,29,0,47,NO
4,M2,Watson,CSK,RR,RH,Chasing,Sharjah,BAT,33,0,46,LBW
4,M2,Rituraj Gaikwad,CSK,RR,RH,Chasing,Sharjah,BAT,0,0,8,STUMPING
4,M2,Du Plesis,CSK,RR,RH,Chasing,Sharjah,BAT,72,0,107,CAUGHT
4,M2,Vijay,CSK,RR,RH,Chasing,Sharjah,BAT,21,0,28,CAUGHT
4,M2,Jadeja,CSK,RR,LH,Chasing,Sharjah,ALL,1,0,3,NO
4,M2,Sam Curran,CSK,RR,LH,Chasing,Sharjah,ALL,17,3,101,STUMPING
4,M2,Piyush Chawla,CSK,RR,LH,Chasing,Sharjah,BALL,0,1,23,nb
4,M2,Deepak Chahar,CSK,RR,RH,Chasing,Sharjah,BALL,0,1,45,nb
4,M2,Ngidi,CSK,RR,RH,Chasing,Sharjah,BALL,0,1,23,nb
4,M2,Jadhav,CSK,RR,RH,Chasing,Sharjah,BAT,22,0,43,CAUGHT
5,M2,Rohit Sharma,MI,KKR,RH,Defending,Sheikh Zayed,BAT,80,0,107,CAUGHT
5,M2,De Kock,MI,KKR,LH,Defending,Sheikh Zayed,WK,1,0,33,CAUGHT
5,M2,S.Yadav,MI,KKR,RH,Defending,Sheikh Zayed,BAT,47,0,59,RUNOUT
5,M2,Saurabh Tiwary,MI,KKR,LH,Defending,Sheikh Zayed,BAT,21,0,28,CAUGHT
5,M2,Hardik Pandya,MI,KKR,RH,Defending,Sheikh Zayed,ALL,18,0,50,HITWICKET
5,M2,Kieron Pollard,MI,KKR,RH,Defending,Sheikh Zayed,ALL,13,1,51,NO
5,M2,Krunal Pandya,MI,KKR,LH,Defending,Sheikh Zayed,ALL,1,0,5,NO
5,M2,Pattinson,MI,KKR,RH,Defending,Sheikh Zayed,BALL,0,2,54,nb
5,M2,Rahul Chahar,MI,KKR,RH,Defending,Sheikh Zayed,BALL,0,2,54,nb
5,M2,Boult,MI,KKR,LH,Defending,Sheikh Zayed,BALL,0,2,62,nb
5,M2,Bumrah,MI,KKR,RH,Defending,Sheikh Zayed,BALL,0,2,54,nb
5,M1,Sunil Narine,KKR,MI,LH,Chasing,Sheikh Zayed,ALL,7,1,48,CAUGHT
5,M1,Shubman Gill,KKR,MI,RH,Chasing,Sheikh Zayed,BAT,9,0,10,CAUGHT
5,M1,Nitish Rana,KKR,MI,LH,Chasing,Sheikh Zayed,ALL,24,0,32,CAUGHT
5,M1,Eoin Morgan,KKR,MI,LH,Chasing,Sheikh Zayed,BAT,16,0,29,CAUGHT
5,M1,Dinesh Karthik,KKR,MI,RH,Chasing,Sheikh Zayed,WK,30,0,39,LBW
5,M1,Andre Russell,KKR,MI,RH,Chasing,Sheikh Zayed,ALL,11,1,42,BOLD
5,M1,Nikhil Naik,KKR,MI,RH,Chasing,Sheikh Zayed,BAT,1,0,13,CAUGHT
5,M1,Pat Cummins,KKR,MI,RH,Chasing,Sheikh Zayed,BALL,33,0,56,CAUGHT
5,M1,Kuldeep Yadav,KKR,MI,LH,Chasing,Sheikh Zayed,BALL,1,0,3,NO
5,M1,Sandeep Warrier,KKR,MI,RH,Chasing,Sheikh Zayed,BALL,0,0,-2,nb
5,M1,Shivam Mavi,KKR,MI,RH,Chasing,Sheikh Zayed,BALL,9,2,72,STUMPING
6,M2,KL Rahul,KXIP,RCB,RH,Defending,Dubai,WK,132,0,180,NO
6,M2,Mayank Agarwal,KXIP,RCB,RH,Defending,Dubai,BAT,26,0,42,BOLD
6,M2,Nicolas Pooran,KXIP,RCB,LH,Defending,Dubai,WK,17,0,22,CAUGHT
6,M2,Glenn Maxwell,KXIP,RCB,RH,Defending,Dubai,ALL,5,1,36,CAUGHT
6,M2,Karun Nair,KXIP,RCB,RH,Defending,Dubai,BAT,15,0,21,NO
6,M2,Sarfaraz Khan,KXIP,RCB,RH,Defending,Dubai,BAT,0,0,12,nb
6,M2,James Neesham,KXIP,RCB,LH,Defending,Dubai,ALL,0,0,4,nb
6,M2,Murugan Ashwin,KXIP,RCB,RH,Defending,Dubai,BALL,0,3,79,nb
6,M2,Mohammed Shami,KXIP,RCB,RH,Defending,Dubai,BALL,0,1,33,nb
6,M2,Sheldon Cottrell,KXIP,RCB,LH,Defending,Dubai,BALL,0,2,56,nb
6,M2,Ravi Bishnoi,KXIP,RCB,RH,Defending,Dubai,BALL,0,3,95,nb
6,M2,Aaron Finch,RCB,KXIP,RH,Chasing,Dubai,BAT,20,0,35,BOLD
6,M2,Devdutt Padikkal,RCB,KXIP,LH,Chasing,Dubai,BAT,1,0,5,CAUGHT
6,M2,Virat Kohli,RCB,KXIP,RH,Chasing,Dubai,BAT,1,0,5,CAUGHT
6,M2,AB de Villiers,RCB,KXIP,RH,Chasing,Dubai,BAT,28,0,46,CAUGHT
6,M2,Josh Phillipe,RCB,KXIP,RH,Chasing,Dubai,WK,0,0,2,LBW
6,M2,Shivam Dube,RCB,KXIP,LH,Chasing,Dubai,ALL,12,2,64,BOLD
6,M2,Umesh Yadav,RCB,KXIP,RH,Chasing,Dubai,BALL,0,0,-2,BOLD
6,M2,W Sundar,RCB,KXIP,LH,Chasing,Dubai,ALL,30,0,38,CAUGHT
6,M2,Navdeep Saini,RCB,KXIP,RH,Chasing,Dubai,BALL,6,0,9,BOLD
6,M2,Dale Steyn,RCB,KXIP,RH,Chasing,Dubai,BALL,1,0,-1,NO
6,M2,Y Chahal,RCB,KXIP,RH,Chasing,Dubai,BALL,1,1,30,LBW
7,M3,MS Dhoni,CSK,DC,RH,Chasing,Sharjah,WK,15,0,41,CAUGHT
7,M3,Watson,CSK,DC,RH,Chasing,Sharjah,BAT,14,0,21,CAUGHT
7,M3,Rituraj Gaikwad,CSK,DC,RH,Chasing,Sharjah,BAT,5,0,5,RUNOUT
7,M3,Du Plesis,CSK,DC,RH,Chasing,Sharjah,BAT,43,0,51,CAUGHT
7,M3,Vijay,CSK,DC,RH,Chasing,Sharjah,BAT,10,0,13,CAUGHT
7,M3,Jadeja,CSK,DC,LH,Chasing,Sharjah,ALL,12,0,13,NO
7,M3,Sam Curran,CSK,DC,LH,Chasing,Sharjah,ALL,1,1,30,NO
7,M3,Piyush Chawla,CSK,DC,LH,Chasing,Sharjah,BALL,0,2,54,nb
7,M3,Deepak Chahar,CSK,DC,RH,Chasing,Sharjah,BALL,0,0,2,nb
7,M3,Josh Hazlewood,CSK,DC,RH,Chasing,Sharjah,BALL,0,0,4,nb
7,M3,Jadhav,CSK,DC,RH,Chasing,Sharjah,BAT,26,0,33,nb
7,M2,P.Shaw,DC,CSK,RH,Defending,Dubai,BAT,64,0,87,STUMPING
7,M2,Shikhar Dhawan,DC,CSK,LH,Defending,Dubai,BAT,35,0,44,LBW
7,M2,Hetmeyer,DC,CSK,LH,Defending,Dubai,BAT,0,0,12,nb
7,M2,Shreyas Iyer,DC,CSK,RH,Defending,Dubai,BAT,26,0,31,CAUGHT
7,M2,Rishabh Pant,DC,CSK,LH,Defending,Dubai,WK,37,0,68,NO
7,M2,Marcus Stoinis,DC,CSK,RH,Defending,Dubai,ALL,5,0,10,NO
7,M2,Axar Patel,DC,CSK,LH,Defending,Dubai,ALL,0,1,39,nb
7,M2,Amit Mishra,DC,CSK,RH,Defending,Dubai,BALL,0,0,14,nb
7,M2,Rabada,DC,CSK,RH,Defending,Dubai,BALL,0,3,87,nb
7,M2,Nortje,DC,CSK,RH,Defending,Dubai,BALL,0,2,56,nb
7,M2,Avesh Khan,DC,CSK,RH,Defending,Dubai,BALL,0,0,0,nb
8,M2,Warner,SRH,KKR,LH,Defending,Sheikh Zayed,BAT,36,0,52,CAUGHT
8,M2,Bairstow,SRH,KKR,RH,Defending,Sheikh Zayed,WK,5,0,5,BOLD
8,M2,Manish Pandey,SRH,KKR,RH,Defending,Sheikh Zayed,BAT,51,0,70,CAUGHT
8,M2,W Saha,SRH,KKR,RH,Defending,Sheikh Zayed,WK,30,0,45,RUNOUT
8,M2,Mohammed Nabi,SRH,KKR,RH,Defending,Sheikh Zayed,ALL,11,0,19,NO
8,M2,Priyam Garg,SRH,KKR,RH,Defending,Sheikh Zayed,BAT,0,0,4,nb
8,M2,Abhishek Sharma,SRH,KKR,LH,Defending,Sheikh Zayed,BAT,2,0,6,NO
8,M2,Rashid Khan,SRH,KKR,RH,Defending,Sheikh Zayed,BALL,0,1,29,nb
8,M2,Bhuvaneshwar Kumar,SRH,KKR,RH,Defending,Sheikh Zayed,BALL,0,0,2,nb
8,M2,Khaleel Ahmed,SRH,KKR,LH,Defending,Sheikh Zayed,BALL,0,1,27,nb
8,M2,Natarajan,SRH,KKR,LH,Defending,Sheikh Zayed,BALL,0,1,27,nb
8,M2,Sunil Narine,KKR,SRH,LH,Chasing,Sheikh Zayed,ALL,0,0,2,CAUGHT
8,M2,Shubman Gill,KKR,SRH,RH,Chasing,Sheikh Zayed,BAT,70,0,91,NO
8,M2,Nitish Rana,KKR,SRH,LH,Chasing,Sheikh Zayed,ALL,26,0,36,CAUGHT
8,M2,Eoin Morgan,KKR,SRH,LH,Chasing,Sheikh Zayed,BAT,42,0,53,NO
8,M2,Dinesh Karthik,KKR,SRH,RH,Chasing,Sheikh Zayed,WK,0,0,8,LBW
8,M2,Andre Russell,KKR,SRH,RH,Chasing,Sheikh Zayed,ALL,0,1,37,nb
8,M2,Kamlesh Nagarkoti,KKR,SRH,RH,Chasing,Sheikh Zayed,BALL,0,0,4,nb
8,M2,Pat Cummins,KKR,SRH,RH,Chasing,Sheikh Zayed,BALL,0,1,39,nb
8,M2,Kuldeep Yadav,KKR,SRH,LH,Chasing,Sheikh Zayed,BALL,0,0,4,nb
8,M2,Varun Chakravarthy,KKR,SRH,RH,Chasing,Sheikh Zayed,BALL,0,1,37,nb
8,M2,Shivam Mavi,KKR,SRH,RH,Chasing,Sheikh Zayed,BALL,0,0,4,nb
9,M2,Jos Butler,RR,KXIP,RH,Chasing,Sharjah,WK,4,0,8,CAUGHT
9,M2,Steve Smith,RR,KXIP,RH,Chasing,Sharjah,BAT,50,0,73,CAUGHT
9,M2,Sanju Samson,RR,KXIP,RH,Chasing,Sharjah,WK,85,0,123,CAUGHT
9,M2,Robin Uthappa,RR,KXIP,RH,Chasing,Sharjah,BAT,9,0,15,CAUGHT
9,M2,Rahul Tewatia,RR,KXIP,LH,Chasing,Sharjah,ALL,53,0,79,CAUGHT
9,M2,Riyag Parag,RR,KXIP,RH,Chasing,Sharjah,ALL,0,0,2,BOLD
9,M2,Tom Curran,RR,KXIP,RH,Chasing,Sharjah,BALL,4,1,30,NO
9,M2,Jofra Archer,RR,KXIP,RH,Chasing,Sharjah,BALL,13,0,15,NO
9,M2,Shreyas Gopal,RR,KXIP,RH,Chasing,Sharjah,BALL,0,0,8,nb
9,M2,Jaydev Unadkat,RR,KXIP,LH,Chasing,Sharjah,BALL,0,0,2,nb
9,M2,Ankit Rajpoot,RR,KXIP,RH,Chasing,Sharjah,BALL,0,1,27,nb
9,M3,KL Rahul,KXIP,RR,RH,Defending,Sharjah,WK,69,0,98,CAUGHT
9,M3,Mayank Agarwal,KXIP,RR,RH,Defending,Sharjah,BAT,106,0,158,CAUGHT
9,M3,Nicolas Pooran,KXIP,RR,LH,Defending,Sharjah,WK,25,0,44,NO
9,M3,Glenn Maxwell,KXIP,RR,RH,Defending,Sharjah,ALL,13,0,17,NO
9,M3,Karun Nair,KXIP,RR,RH,Defending,Sharjah,BAT,0,0,4,nb
9,M3,Sarfaraz Khan,KXIP,RR,RH,Defending,Sharjah,BAT,0,0,12,nb
9,M3,James Neesham,KXIP,RR,LH,Defending,Sharjah,ALL,0,1,27,nb
9,M3,Murugan Ashwin,KXIP,RR,RH,Defending,Sharjah,BALL,0,1,29,nb
9,M3,Mohammed Shami,KXIP,RR,RH,Defending,Sharjah,BALL,0,3,81,nb
9,M3,Sheldon Cottrell,KXIP,RR,LH,Defending,Sharjah,BALL,0,1,23,nb
9,M3,Ravi Bishnoi,KXIP,RR,RH,Defending,Sharjah,BALL,0,0,4,nb
10,M3,Devdutt Padikkal,RCB,MI,LH,Defending,Dubai,BAT,54,0,83,CAUGHT
10,M3,Aaron Finch,RCB,MI,RH,Defending,Dubai,BAT,52,0,73,CAUGHT
10,M3,Virat Kohli,RCB,MI,RH,Defending,Dubai,BAT,3,0,1,CAUGHT
10,M3,AB de Villiers,RCB,MI,RH,Defending,Dubai,WK,55,0,87,NO
10,M3,Shivam Dube,RCB,MI,LH,Defending,Dubai,ALL,27,0,38,NO
10,M3,W Sundar,RCB,MI,LH,Defending,Dubai,ALL,0,1,35,nb
10,M3,Isuru Udana,RCB,MI,LH,Defending,Dubai,BALL,0,2,48,nb
10,M3,Gurkeerat Singh,RCB,MI,RH,Defending,Dubai,ALL,0,0,4,nb
10,M3,Navdeep Saini,RCB,MI,RH,Defending,Dubai,BALL,0,0,0,nb
10,M3,Adam Zampa,RCB,MI,RH,Defending,Dubai,BALL,0,1,23,nb
10,M3,Y Chahal,RCB,MI,RH,Defending,Dubai,BALL,0,1,23,nb
10,M3,Rohit Sharma,MI,RCB,RH,Chasing,Dubai,BAT,8,0,22,CAUGHT
10,M3,De Kock,MI,RCB,LH,Chasing,Dubai,WK,14,0,19,CAUGHT
10,M3,S.Yadav,MI,RCB,RH,Chasing,Dubai,BAT,0,0,2,CAUGHT
10,M3,Ishan Kishan,MI,RCB,LH,Chasing,Dubai,WK,99,0,131,CAUGHT
10,M3,Hardik Pandya,MI,RCB,RH,Chasing,Dubai,ALL,15,0,21,CAUGHT
10,M3,Kieron Pollard,MI,RCB,RH,Chasing,Dubai,ALL,60,0,101,NO
10,M3,Krunal Pandya,MI,RCB,LH,Chasing,Dubai,ALL,0,0,4,NO
10,M3,Pattinson,MI,RCB,RH,Chasing,Dubai,BALL,0,0,-2,nb
10,M3,Rahul Chahar,MI,RCB,RH,Chasing,Dubai,BALL,0,1,29,nb
10,M3,Boult,MI,RCB,LH,Chasing,Dubai,BALL,0,2,54,nb
10,M3,Bumrah,MI,RCB,RH,Chasing,Dubai,BALL,0,0,0,nb
11,M3,Warner,SRH,DC,LH,Defending,Sheikh Zayed,BAT,45,0,56,CAUGHT
11,M3,Bairstow,SRH,DC,RH,Defending,Sheikh Zayed,WK,53,0,85,CAUGHT
11,M3,Manish Pandey,SRH,DC,RH,Defending,Sheikh Zayed,BAT,3,0,15,CAUGHT
11,M3,Kane Williamson,SRH,DC,RH,Defending,Sheikh Zayed,BAT,41,0,50,CAUGHT
11,M3,Abdul Samad,SRH,DC,RH,Defending,Sheikh Zayed,BAT,12,0,27,NO
11,M3,Abhishek Sharma,SRH,DC,LH,Defending,Sheikh Zayed,ALL,1,0,5,NO
11,M3,Priyam Garg,SRH,DC,RH,Defending,Sheikh Zayed,BAT,0,0,12, 
11,M3,Rashid Khan,SRH,DC,RH,Defending,Sheikh Zayed,BALL,0,3,85,nb
11,M3,Bhuvaneshwar Kumar,SRH,DC,RH,Defending,Sheikh Zayed,BALL,0,2,54,nb
11,M3,Natarajan,SRH,DC,LH,Defending,Sheikh Zayed,BALL,0,1,29,nb
11,M3,Khaleel Ahmed,SRH,DC,LH,Defending,Sheikh Zayed,BALL,0,1,25,nb
11,M3,P.Shaw,DC,SRH,RH,Chasing,Sheikh Zayed,BAT,2,0,6,CAUGHT
11,M3,Shikhar Dhawan,DC,SRH,LH,Chasing,Sheikh Zayed,BAT,34,0,42,CAUGHT
11,M3,Hetmeyer,DC,SRH,LH,Chasing,Sheikh Zayed,BAT,21,0,29,CAUGHT
11,M3,Shreyas Iyer,DC,SRH,RH,Chasing,Sheikh Zayed,BAT,17,0,23,CAUGHT
11,M3,Rishabh Pant,DC,SRH,LH,Chasing,Sheikh Zayed,WK,28,0,45,CAUGHT
11,M3,Marcus Stoinis,DC,SRH,RH,Chasing,Sheikh Zayed,ALL,11,0,16,LBW
11,M3,Axar Patel,DC,SRH,LH,Chasing,Sheikh Zayed,ALL,5,0,17,BOLD
11,M3,Amit Mishra,DC,SRH,RH,Chasing,Sheikh Zayed,BALL,0,2,54,nb
11,M3,Rabada,DC,SRH,RH,Chasing,Sheikh Zayed,BALL,15,2,82,NO
11,M3,Nortje,DC,SRH,RH,Chasing,Sheikh Zayed,BALL,3,0,13,NO
11,M3,Ishant Sharma,DC,SRH,RH,Chasing,Sheikh Zayed,BALL,0,0,4,nb
12,M3,Jos Butler,RR,KKR,RH,Chasing,Dubai,WK,21,0,38,CAUGHT
12,M3,Steve Smith,RR,KKR,RH,Chasing,Dubai,BAT,3,0,7,CAUGHT
12,M3,Sanju Samson,RR,KKR,RH,Chasing,Dubai,WK,8,0,21,CAUGHT
12,M3,Robin Uthappa,RR,KKR,RH,Chasing,Dubai,BAT,2,0,6,CAUGHT
12,M3,Rahul Tewatia,RR,KKR,LH,Chasing,Dubai,ALL,14,1,45,BOLD
12,M3,Riyag Parag,RR,KKR,RH,Chasing,Dubai,ALL,1,0,13,CAUGHT
12,M3,Tom Curran,RR,KKR,RH,Chasing,Dubai,BALL,54,1,97,NO
12,M3,Jofra Archer,RR,KKR,RH,Chasing,Dubai,BALL,6,2,74,CAUGHT
12,M3,Shreyas Gopal,RR,KKR,RH,Chasing,Dubai,BALL,5,0,5,CAUGHT
12,M3,Jaydev Unadkat,RR,KKR,LH,Chasing,Dubai,BALL,9,1,46,CAUGHT
12,M3,Ankit Rajpoot,RR,KKR,RH,Chasing,Dubai,BALL,7,1,36,NO
12,M3,Sunil Narine,KKR,RR,LH,Defending,Dubai,ALL,15,1,54,BOLD
12,M3,Shubman Gill,KKR,RR,RH,Defending,Dubai,BAT,47,0,66,CAUGHT
12,M3,Nitish Rana,KKR,RR,LH,Defending,Dubai,ALL,22,0,30,CAUGHT
12,M3,Eoin Morgan,KKR,RR,LH,Defending,Dubai,BAT,34,0,43,NO
12,M3,Dinesh Karthik,KKR,RR,RH,Defending,Dubai,WK,1,0,21,CAUGHT
12,M3,Andre Russell,KKR,RR,RH,Defending,Dubai,ALL,24,0,34,CAUGHT
12,M3,Kamlesh Nagarkoti,KKR,RR,RH,Defending,Dubai,BALL,8,2,79,NO
12,M3,Pat Cummins,KKR,RR,RH,Defending,Dubai,BALL,12,1,46,CAUGHT
12,M3,Kuldeep Yadav,KKR,RR,LH,Defending,Dubai,BALL,0,1,29,nb
12,M3,Varun Chakravarthy,KKR,RR,RH,Defending,Dubai,BALL,0,2,62,nb
12,M3,Shivam Mavi,KKR,RR,RH,Defending,Dubai,BALL,0,2,64,nb
13,M4,Rohit Sharma,MI,KXIP,RH,Defending,Sheikh Zayed,BAT,70,0,96,CAUGHT
13,M4,De Kock,MI,KXIP,LH,Defending,Sheikh Zayed,WK,0,0,10,BOLD
